num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,drift_ptp,drift_std,drift_mad,isolation_distance,l_ratio,d_prime,silhouette,nn_hit_rate,nn_miss_rate,peak_to_valley,peak_trough_ratio,half_width,repolarization_slope,recovery_slope,num_positive_peaks,num_negative_peaks,velocity_above,velocity_below,exp_decay,spread,cluster_id
34.0,0.004464397,0.21428572,4.870213,2196.0234,1.0,1.0,1.0,,,30.46875,,,0.05882353,0.0,0.0,0.0,,,,2293216700000000.0,,3.3239741,0.051736977,0.036764707,0.0018680752,0.00032333043,-0.4532272,0.00017999837,207366.7,-27190.904,2.0,1.0,,684.1162,0.016586095,160.0,20
152.0,0.019958481,0.6269841,5.2250767,0.0,0.0,0.0,0.0,,,35.15625,,,0.05263158,0.0,0.0,0.2,,,,180.51927,0.011021919,2.8972266,0.037058085,0.23190789,0.018924303,0.00030666392,-0.488875,0.00015666525,304612.03,-27420.17,1.0,1.0,,709.4086,0.012592591,160.0,21
309.0,0.040573493,0.65873015,5.2365723,0.0,0.0,0.0,0.0,,,35.15625,,,0.03883495,0.0,0.0,0.2,,,,90.32004,0.9964831,4.027487,0.04338803,0.42071196,0.011231281,0.00027999748,-0.56960356,0.00016333186,325286.16,-34999.445,1.0,1.0,,768.23193,0.016448312,160.0,22
6439.0,0.84547806,1.0,1.7743577,6.6127443,108.0,1.0,25.0,0.285,0.0003245176,16.40625,0.9222054,1.4378395,0.26432675,0.011337164,0.0,4.18,,,,67.975464,4.377036,1.2858336,-0.005105526,0.12648456,0.02502871,0.0005733282,-0.8647034,0.00033999694,59487.867,-33308.184,2.0,2.0,257.47122,,,120.0,23
83955.0,11.023779,1.0,5.37973,0.042859655,119.0,0.035755653,65.0,0.035,6.516174e-06,35.15625,0.28113177,0.15191098,0.028110297,1.1911143e-05,0.0,9.78,28.345999,8.057349,6.6307735,141.2419,0.05162331,3.4216976,0.09207095,0.6865,0.03981008,0.0003866632,-0.4092671,0.00014333204,253116.36,-27512.332,1.0,1.0,,,0.025198162,100.0,24
166.0,0.021796763,0.5714286,4.351678,0.0,0.0,0.0,0.0,,,30.46875,,,0.060240965,0.0,0.0,0.2,,,,189.83047,0.0006504591,4.384516,0.066683576,0.42771083,0.0034294513,0.00045666256,-0.34754452,0.00018333168,156677.98,-19739.416,1.0,1.0,550.56335,446.21674,,160.0,25
61.0,0.008009654,0.15873016,8.812595,0.0,0.0,0.0,0.0,,,63.28125,,,0.032786883,0.0,0.0,0.0,,,,3351971500000000.0,,5.154109,0.17464052,0.46721312,0.00094428705,0.00021333141,-0.48901406,0.00012333223,682064.9,-47461.695,1.0,1.0,,,0.039375085,80.0,26
69.0,0.009060101,0.33333334,5.645186,0.0,0.0,0.0,0.0,,,37.5,,,0.014492754,0.0,0.0,0.0,,,,3925899700000000.0,,4.2296157,0.050614126,0.25724638,0.0074944776,0.00047332907,-0.28663278,0.00018999829,188846.28,-19252.818,2.0,1.0,463.41968,383.745,0.0136762485,160.0,27
10632.0,1.3960433,1.0,5.3884983,0.02245768,1.0,0.034274183,1.0,0.075,0.000109205925,37.5,0.29740554,0.15663029,0.033954103,0.0,0.0,3.8,,,,206.30174,0.0006685688,7.2565756,0.15920343,0.8975,0.0018043304,0.0002866641,-0.44153568,0.00013666543,336527.16,-32096.172,1.0,1.0,,,0.02987234,80.0,28
482.0,0.0632894,0.78571427,6.8687406,0.0,0.0,0.0,0.0,,,49.21875,,,0.026970955,0.0,0.0,0.4,,,,151.77075,0.08712775,4.442852,0.035908945,0.70435685,0.034462616,0.00026999757,-0.3336246,0.00012666553,404295.88,-28254.297,1.0,1.0,-519.9696,409.62057,0.02020094,140.0,29
180.0,0.023635045,0.53174603,7.0915103,0.0,0.0,0.0,0.0,,,49.21875,,,0.022222223,0.0,0.0,0.2,,,,166.42165,0.014135725,3.262375,0.03218306,0.2875,0.029032746,0.0004133296,-0.27616927,0.00012999884,392876.25,-24662.203,1.0,1.0,,473.50092,0.019820971,140.0,30
8310.0,1.0911512,1.0,1.3031142,8.969797,244.0,1.0,107.0,,0.00015676541,14.0625,,,0.30697954,0.020336943,0.00012033695,4.2,,,,66.89622,4.759994,1.3677051,0.019094978,0.15083136,0.026855621,0.0009433248,-0.42928135,0.00036666336,33871.188,-7968.9175,2.0,3.0,,,,120.0,31
179.0,0.02350374,0.5714286,5.4034543,0.0,0.0,0.0,0.0,,,37.5,,,0.039106146,0.0,0.0,0.2,,,,249.5216,0.00035126478,5.2771764,0.07002993,0.6089386,0.008776897,0.00032333043,-0.6661535,0.00021666472,330399.34,-44290.49,1.0,1.0,,684.0826,0.026445324,100.0,32
